"","species_name","Kingdom","Phylum","Oblig/Fac","Simple/Complex","SterileCells","SterileProp","Types","Number","Sex","Fission","Fragmentation","GermTime","GermTimeSimp","Type/Number","SomaTypes","Soma/Number","GermNumeric"
"1","Aeolosoma tenebrarum","Animalia","Annelida","obligate","complex","yes",NA,12,50119,"0","1","fission","1,2","early",0.000239430156228177,11,0.000219477643209162,"1"
"2","Alaria marginata","Chromista","Ochrophyta","obligate","complex","yes",NA,14,1e+12,"1","0",NA,"3","adult",1.4e-11,13,1.3e-11,"2"
"3","Amphibola crenata","Animalia","Mollusca","obligate","complex","yes",NA,9,19953,"1","0",NA,"?",NA,0.0004510599909788,8,0.000400942214203378,NA
"4","Anabaena","Bacteria","Cyanobacteria","obligate","simple","yes",10,3,600,"0","1","fission","3","adult",0.005,2,0.00333333333333333,"2"
"5","Anthoceros himalayensis","Plantae","Anthocerotophyta","obligate","complex","yes",NA,12,39811,"1","1","b","3","adult",0.000301424229484313,11,0.000276305543693954,"2"
"6","Apodotrocha progenerans","Animalia","annelida","obligate","complex","yes",NA,16,6310,"1","0","none","1,2","early",0.00253565768621236,15,0.00237717908082409,"1"
"7","Ascophyllum nodosum","Chromista","Ochrophyta","obligate","complex","yes",NA,6,6.31e+11,"1","1","f&b","3","adult",9.50871632329635e-12,5,7.92393026941363e-12,"2"
"8","Asperococcus fistulosus","Chromista","Ochrophyta","obligate","complex","yes",NA,5,1e+10,"0","0",NA,"3","adult",5e-10,4,4e-10,"2"
"9","Astrephomene gubernaculifera","Plantae","Chlorophyta","obligate","simple","yes",NA,2,64,"1","0",NA,"3","adult",0.03125,1,0.015625,"2"
"10","Astrephomene perforata","Plantae","Chlorophyta","obligate","simple","yes",NA,2,64,"1","0",NA,"3","adult",0.03125,1,0.015625,"2"
"11","Basichlamys sacculifera","Plantae","Chlorophyta","obligate","simple","no",0,1,4,"1","0",NA,"0","no_germline",0.25,0,0,"0"
"12","Botryocladia wynnei","Plantae","Rhodophyta","obligate","complex","yes",NA,6,3981072,"1","1","f","3","adult",1.50713174742883e-06,5,1.25594312285736e-06,"2"
"13","Caenorhabditis elegans","Animalia","Nematoda","obligate","complex","yes",NA,24,892,"1","0",NA,"1","early",0.0269058295964126,23,0.0257847533632287,"1"
"14","Callinectes sapidus","Animalia","Arthropoda","obligate","complex","yes",NA,69,3.16e+11,"1","0","none","1,2","early",2.18354430379747e-10,68,2.15189873417722e-10,"1"
"15","Canis lupus","Animalia","Chordata","obligate","complex","yes",NA,99,5.01e+13,"1","0","none","1,2","early",1.97604790419162e-12,98,1.9560878243513e-12,"1"
"16","Carpomitra costata","Chromista","Ochrophyta","obligate","complex","yes",NA,7,2511886432,"0","0",NA,"3","adult",2.7867501933304e-09,6,2.38864302285463e-09,"2"
"17","Cheiroglossa palmata","Plantae","Tracheophyta","obligate","complex","yes",NA,14,6309573445,"1","0","b","3","adult",2.21885046937591e-09,13,2.06036115013477e-09,"2"
"18","Chlorogloeopsis","Bacteria","Cyanobacteria","obligate","simple","yes",NA,2,22,"0","1","fission","3","adult",0.0909090909090909,1,0.0454545454545455,"2"
"19","Chordaria flagelliformis","Chromista","Ochrophyta","obligate","complex","yes",NA,6,3981071706,"0","0",NA,"3","adult",1.5071318587297e-09,5,1.25594321560808e-09,"2"
"20","Chordodasiopsis antennatus","Animalia","Gastrotricha","obligate","complex","yes",NA,15,1259,"1","0","none","1","early",0.0119142176330421,14,0.011119936457506,"1"
"21","Cladostephus spongiosus","Chromista","Ochrophyta","obligate","complex","yes",NA,8,125892541,"1","0","f","3","adult",6.3546258868506e-08,7,5.56029765099427e-08,"2"
"22","Colpomenia sinuosa","Chromista","Ochrophyta","obligate","complex","yes",NA,5,1995262315,"1","0",NA,"3","adult",2.50593616809728e-09,4,2.00474893447782e-09,"2"
"23","Conocephalum conicum","Plantae","Marchantiophyta","obligate","complex","yes",NA,15,3162278,"1","1","b","3","adult",4.74341598050519e-06,14,4.42718824847151e-06,"2"
"24","Conocyema polymorpha","Animalia","Dicyemida","obligate","complex","yes",NA,3,29,"1","0","none","?",NA,0.103448275862069,2,0.0689655172413793,NA
"25","Craspedacusta sowerbii","Animalia","Cnidaria","obligate","complex","yes",NA,3,126,"1","1","Budding","3","adult",0.0238095238095238,2,0.0158730158730159,"2"
"26","Croomia pauciflora","Plantae","Tracheophyta","obligate","complex","yes",NA,42,2.5119e+10,"1","1","b","3","adult",1.67204108443807e-09,41,1.63223058242764e-09,"2"
"27","cupelopagis vorax","Animalia","Rotifera","obligate","complex","yes",NA,16,141254,"1","0","none","1","early",0.000113271128605208,15,0.000106191683067382,"1"
"28","Cutleria","Chromista","Ochrophyta","obligate","complex","yes",NA,7,3162277660,"1","0",NA,"3","adult",2.21359436223573e-09,6,1.89736659620206e-09,"2"
"29","Cyanea capillata","Animalia","Cnidaria","obligate","complex","yes",NA,22,1e+13,NA,"1","Budding","3","adult",2.2e-12,21,2.1e-12,"2"
"30","Cyathodium","Plantae","Marchantiophyta","obligate","complex","yes",NA,13,50118724,"1","1","b","3","adult",2.59384097647817e-07,12,2.39431474751831e-07,"2"
"31","Cyathodium foetidissimum","Plantae","Marchantiophyta","obligate","complex","yes",NA,15,630957345,"1","1","b","3","adult",2.37733978673313e-08,14,2.21885046761759e-08,"2"
"32","Dasybranchus caducus","Animalia","Annelida","obligate","complex","yes",NA,10,31623,"1","0","none","1,2","early",0.000316225532049458,9,0.000284602978844512,"1"
"33","Desmarestia antarctica","Chromista","Ochrophyta","obligate","complex","yes",NA,7,6.31e+11,"1","0",NA,"3","adult",1.10935023771791e-11,6,9.50871632329635e-12,"2"
"34","Dictyosiphon hirsutus","Chromista","Ochrophyta","obligate","complex","yes",NA,6,3.9811e+10,"1","0",NA,"3","adult",1.50712114742157e-10,5,1.25593428951797e-10,"2"
"35","Dictyota binghamiae","Chromista","Ochrophyta","obligate","complex","yes",NA,4,2.51e+11,"1","1","b","3","adult",1.59362549800797e-11,3,1.19521912350598e-11,"2"
"36","Dicyema typus","Animalia","Dicyemida","obligate","complex","yes",NA,3,1585,"0","0","none","?",NA,0.00189274447949527,2,0.00126182965299685,NA
"37","Dicyemennea abelis","Animalia","Dicyemida","obligate","complex","yes",NA,6,20,"0","0","none","?",NA,0.3,5,0.25,NA
"38","Dicyemennea lameerei","Animalia","Dicyemida","obligate","complex","yes",NA,3,224,"0","0","none","?",NA,0.0133928571428571,2,0.00892857142857143,NA
"39","Dilsea natashae","Plantae","Rhodophyta","obligate","complex","yes",NA,12,1.9953e+10,"1","1","f","3","adult",6.01413321305067e-10,11,5.51295544529645e-10,"2"
"40","Dinophilus gyrociliatus","Animalia","Annelida","obligate","complex","yes",NA,23,10000,"1","0","fission","1,2","early",0.0023,22,0.0022,"1"
"41","Diurodrilus westheidei","Animalia","Annelida","obligate","complex","yes",NA,14,3549,"0","0","none","1,2","early",0.00394477317554241,13,0.00366300366300366,"1"
"42","Ducellieria chodatii","Chromista","Oomycota","obligate","complex","no",0,1,40,"1","0","f/b","0","no_germline",0.025,0,0,"0"
"43","Durvillaea antarctica","Chromista","Ochrophyta","obligate","complex","yes",NA,6,1e+12,"1","0",NA,"3","adult",6e-12,5,5e-12,"2"
"44","Ectocarpus siliculosus","Chromista","Ochrophyta","obligate","complex","yes",NA,4,316228,"1","0",NA,"3","adult",1.2649101281354e-05,3,9.48682596101547e-06,"2"
"45","Elachista fucicola","Chromista","Ochrophyta","obligate","complex","yes",NA,5,15848932,"1","0","b","3","adult",3.15478670739454e-07,4,2.52382936591563e-07,"2"
"46","Enterostomula graffi","Animalia","Platyhelminthes","obligate","complex","yes",NA,12,354814,"1","0","none","3","adult",3.38205369573918e-05,11,3.10021588776091e-05,"2"
