species_name	Kingdom	Phylum	Oblig/Fac	Simple/Complex	SterileCells	SterileProp	Types	Number	Sex	Fission	Fragmentation	GermTime	GermTimeSimp	Type/Number	SomaTypes	Soma/Number	GermNumeric	species_rotl	species_simple_underscores
Aeolosoma tenebrarum	Animalia	Annelida	obligate	complex	yes	NA	12	50119	0	1	fission	1,2	early	0.000239430156228177	11	0.000219477643209162	1	aeolosoma tenebrarum	aeolosoma_tenebrarum
Alaria marginata	Chromista	Ochrophyta	obligate	complex	yes	NA	14	1e+12	1	0	NA	3	adult	1.4e-11	13	1.3e-11	2	alaria marginata	alaria_marginata
Anthoceros himalayensis	Plantae	Anthocerotophyta	obligate	complex	yes	NA	12	39811	1	1	b	3	adult	0.000301424229484313	11	0.000276305543693954	2	anthoceros himalayensis	anthoceros_himalayensis
Apodotrocha progenerans	Animalia	annelida	obligate	complex	yes	NA	16	6310	1	0	none	1,2	early	0.00253565768621236	15	0.00237717908082409	1	apodotrocha progenerans	apodotrocha_progenerans
Ascophyllum nodosum	Chromista	Ochrophyta	obligate	complex	yes	NA	6	6.31e+11	1	1	f&b	3	adult	9.50871632329635e-12	5	7.92393026941363e-12	2	ascophyllum nodosum	ascophyllum_nodosum
Asperococcus fistulosus	Chromista	Ochrophyta	obligate	complex	yes	NA	5	1e+10	0	0	NA	3	adult	5e-10	4	4e-10	2	asperococcus fistulosus	asperococcus_fistulosus
Astrephomene gubernaculifera	Plantae	Chlorophyta	obligate	simple	yes	NA	2	64	1	0	NA	3	adult	0.03125	1	0.015625	2	astrephomene gubernaculifera	astrephomene_gubernaculifera
Astrephomene perforata	Plantae	Chlorophyta	obligate	simple	yes	NA	2	64	1	0	NA	3	adult	0.03125	1	0.015625	2	astrephomene perforata	astrephomene_perforata
Basichlamys sacculifera	Plantae	Chlorophyta	obligate	simple	no	0	1	4	1	0	NA	0	no_germline	0.25	0	0	0	basichlamys sacculifera	basichlamys_sacculifera
Botryocladia wynnei	Plantae	Rhodophyta	obligate	complex	yes	NA	6	3981072	1	1	f	3	adult	1.50713174742883e-06	5	1.25594312285736e-06	2	botryocladia wynnei	botryocladia_wynnei
Caenorhabditis elegans	Animalia	Nematoda	obligate	complex	yes	NA	24	892	1	0	NA	1	early	0.0269058295964126	23	0.0257847533632287	1	caenorhabditis elegans	caenorhabditis_elegans
Callinectes sapidus	Animalia	Arthropoda	obligate	complex	yes	NA	69	3.16e+11	1	0	none	1,2	early	2.18354430379747e-10	68	2.15189873417722e-10	1	callinectes sapidus	callinectes_sapidus
Canis lupus	Animalia	Chordata	obligate	complex	yes	NA	99	5.01e+13	1	0	none	1,2	early	1.97604790419162e-12	98	1.9560878243513e-12	1	canis lupus	canis_lupus
Carpomitra costata	Chromista	Ochrophyta	obligate	complex	yes	NA	7	2511886432	0	0	NA	3	adult	2.7867501933304e-09	6	2.38864302285463e-09	2	carpomitra costata	carpomitra_costata
Cheiroglossa palmata	Plantae	Tracheophyta	obligate	complex	yes	NA	14	6309573445	1	0	b	3	adult	2.21885046937591e-09	13	2.06036115013477e-09	2	cheiroglossa palmata	cheiroglossa_palmata
Chlorogloeopsis	Bacteria	Cyanobacteria	obligate	simple	yes	NA	2	22	0	1	fission	3	adult	0.0909090909090909	1	0.0454545454545455	2	chlorogloeopsis	chlorogloeopsis
Chordaria flagelliformis	Chromista	Ochrophyta	obligate	complex	yes	NA	6	3981071706	0	0	NA	3	adult	1.5071318587297e-09	5	1.25594321560808e-09	2	chordaria flagelliformis	chordaria_flagelliformis
Chordodasiopsis antennatus	Animalia	Gastrotricha	obligate	complex	yes	NA	15	1259	1	0	none	1	early	0.0119142176330421	14	0.011119936457506	1	chordodasiopsis antennatus	chordodasiopsis_antennatus
Cladostephus spongiosus	Chromista	Ochrophyta	obligate	complex	yes	NA	8	125892541	1	0	f	3	adult	6.3546258868506e-08	7	5.56029765099427e-08	2	cladostephus spongiosus	cladostephus_spongiosus
Colpomenia sinuosa	Chromista	Ochrophyta	obligate	complex	yes	NA	5	1995262315	1	0	NA	3	adult	2.50593616809728e-09	4	2.00474893447782e-09	2	colpomenia sinuosa	colpomenia_sinuosa
Conocephalum conicum	Plantae	Marchantiophyta	obligate	complex	yes	NA	15	3162278	1	1	b	3	adult	4.74341598050519e-06	14	4.42718824847151e-06	2	conocephalum conicum	conocephalum_conicum
Conocyema polymorpha	Animalia	Dicyemida	obligate	complex	yes	NA	3	29	1	0	none	?	NA	0.103448275862069	2	0.0689655172413793	NA	conocyema polymorpha	conocyema_polymorpha
Craspedacusta sowerbii	Animalia	Cnidaria	obligate	complex	yes	NA	3	126	1	1	Budding	3	adult	0.0238095238095238	2	0.0158730158730159	2	craspedacusta sowerbii	craspedacusta_sowerbii
Croomia pauciflora	Plantae	Tracheophyta	obligate	complex	yes	NA	42	2.5119e+10	1	1	b	3	adult	1.67204108443807e-09	41	1.63223058242764e-09	2	croomia pauciflora	croomia_pauciflora
cupelopagis vorax	Animalia	Rotifera	obligate	complex	yes	NA	16	141254	1	0	none	1	early	0.000113271128605208	15	0.000106191683067382	1	cupelopagis vorax	cupelopagis_vorax
Cutleria	Chromista	Ochrophyta	obligate	complex	yes	NA	7	3162277660	1	0	NA	3	adult	2.21359436223573e-09	6	1.89736659620206e-09	2	cutleria	cutleria
Cyanea capillata	Animalia	Cnidaria	obligate	complex	yes	NA	22	1e+13	NA	1	Budding	3	adult	2.2e-12	21	2.1e-12	2	cyanea capillata	cyanea_capillata
