species_simple_underscores	species_rotl	Fission	GermTimeSimp	Number	Types	TypesControlledForNumber
aeolosoma_tenebrarum	aeolosoma tenebrarum	1	early	50119	12	1.1088364095320025
alaria_marginata	alaria marginata	0	adult	1000000000000	14	0.5066768955537938
anthoceros_himalayensis	anthoceros himalayensis	1	adult	39811	12	1.132941366493646
apodotrocha_progenerans	apodotrocha progenerans	0	early	6310	16	1.828594216923156
ascophyllum_nodosum	ascophyllum nodosum	1	adult	631000000000	6	0.2208271532289159
asperococcus_fistulosus	asperococcus fistulosus	0	adult	10000000000	5	0.2171472409516259
astrephomene_gubernaculifera	astrephomene gubernaculifera	0	adult	64	2	0.48089834696298783
astrephomene_perforata	astrephomene perforata	0	adult	64	2	0.48089834696298783
basichlamys_sacculifera	basichlamys sacculifera	0	no_germline	4	1	0.7213475204444817
botryocladia_wynnei	botryocladia wynnei	1	adult	3981072	6	0.3948131634449805
caenorhabditis_elegans	caenorhabditis elegans	0	early	892	24	3.5328063070633613
callinectes_sapidus	callinectes sapidus	0	early	316000000000	69	2.605837796805619
canis_lupus	canis lupus	0	early	50100000000000	99	3.1383695609212183
carpomitra_costata	carpomitra costata	0	adult	2511886432	7	0.3234107843931213
cheiroglossa_palmata	cheiroglossa palmata	0	adult	6309573445	14	0.6204206884323539
chlorogloeopsis	chlorogloeopsis	1	adult	22	2	0.6470309062973449
chordaria_flagelliformis	chordaria flagelliformis	0	adult	3981071706	6	0.27143405118809805
chordodasiopsis_antennatus	chordodasiopsis antennatus	0	early	1259	15	2.1014074706799657
cladostephus_spongiosus	cladostephus spongiosus	0	adult	125892541	8	0.4289328216656169
colpomenia_sinuosa	colpomenia sinuosa	0	adult	1995262315	5	0.23349165693706211
conocephalum_conicum	conocephalum conicum	1	adult	3162278	15	1.0022180279652546
conocyema_polymorpha	conocyema polymorpha	0	NA	29	3	0.8909226131201102
craspedacusta_sowerbii	craspedacusta sowerbii	1	adult	126	3	0.6203112344811662
croomia_pauciflora	croomia pauciflora	1	adult	25119000000	42	1.753881165909396
cupelopagis_vorax	cupelopagis vorax	0	early	141254	16	1.3492642120121565
cutleria	cutleria	0	adult	3162277660	7	0.3200064603505435
cyanea_capillata	cyanea capillata	1	adult	10000000000000	22	0.7349598924516569
cyathodium_foetidissimum	cyathodium foetidissimum	1	adult	630957345	15	0.7402746850322632
