species_simple_underscores	Oblig/Fac	Simple/Complex	SterileCells	SterileProp	Types	Number	Sex	Fission	Fragmentation	GermTime	GermTimeSimp	name	Type/Number	SomaTypes	Soma/Number	GermNumeric
aeolosoma_tenebrarum	obligate	complex	yes	NA	12	50119	0	1	fission	1,2	early	aeolosoma_tenebrarum	0.000239430156228177	11	0.000219477643209162	1
alaria_marginata	obligate	complex	yes	NA	14	1e+12	1	0	NA	3	adult	alaria_marginata	1.4e-11	13	1.3e-11	2
anthoceros_himalayensis	obligate	complex	yes	NA	12	39811	1	1	b	3	adult	anthoceros_himalayensis	0.000301424229484313	11	0.000276305543693954	2
apodotrocha_progenerans	obligate	complex	yes	NA	16	6310	1	0	none	1,2	early	apodotrocha_progenerans	0.00253565768621236	15	0.00237717908082409	1
ascophyllum_nodosum	obligate	complex	yes	NA	6	6.31e+11	1	1	f&b	3	adult	ascophyllum_nodosum	9.50871632329635e-12	5	7.92393026941363e-12	2
asperococcus_fistulosus	obligate	complex	yes	NA	5	1e+10	0	0	NA	3	adult	asperococcus_fistulosus	5e-10	4	4e-10	2
astrephomene_gubernaculifera	obligate	simple	yes	NA	2	64	1	0	NA	3	adult	astrephomene_gubernaculifera	0.03125	1	0.015625	2
astrephomene_perforata	obligate	simple	yes	NA	2	64	1	0	NA	3	adult	astrephomene_perforata	0.03125	1	0.015625	2
basichlamys_sacculifera	obligate	simple	no	0	1	4	1	0	NA	0	no_germline	basichlamys_sacculifera	0.25	0	0	0
botryocladia_wynnei	obligate	complex	yes	NA	6	3981072	1	1	f	3	adult	botryocladia_wynnei	1.50713174742883e-06	5	1.25594312285736e-06	2
caenorhabditis_elegans	obligate	complex	yes	NA	24	892	1	0	NA	1	early	caenorhabditis_elegans	0.0269058295964126	23	0.0257847533632287	1
callinectes_sapidus	obligate	complex	yes	NA	69	3.16e+11	1	0	none	1,2	early	callinectes_sapidus	2.18354430379747e-10	68	2.15189873417722e-10	1
canis_lupus	obligate	complex	yes	NA	99	5.01e+13	1	0	none	1,2	early	canis_lupus	1.97604790419162e-12	98	1.9560878243513e-12	1
carpomitra_costata	obligate	complex	yes	NA	7	2511886432	0	0	NA	3	adult	carpomitra_costata	2.7867501933304e-09	6	2.38864302285463e-09	2
cheiroglossa_palmata	obligate	complex	yes	NA	14	6309573445	1	0	b	3	adult	cheiroglossa_palmata	2.21885046937591e-09	13	2.06036115013477e-09	2
chlorogloeopsis	obligate	simple	yes	NA	2	22	0	1	fission	3	adult	chlorogloeopsis	0.0909090909090909	1	0.0454545454545455	2
chordaria_flagelliformis	obligate	complex	yes	NA	6	3981071706	0	0	NA	3	adult	chordaria_flagelliformis	1.5071318587297e-09	5	1.25594321560808e-09	2
chordodasiopsis_antennatus	obligate	complex	yes	NA	15	1259	1	0	none	1	early	chordodasiopsis_antennatus	0.0119142176330421	14	0.011119936457506	1
cladostephus_spongiosus	obligate	complex	yes	NA	8	125892541	1	0	f	3	adult	cladostephus_spongiosus	6.3546258868506e-08	7	5.56029765099427e-08	2
colpomenia_sinuosa	obligate	complex	yes	NA	5	1995262315	1	0	NA	3	adult	colpomenia_sinuosa	2.50593616809728e-09	4	2.00474893447782e-09	2
conocephalum_conicum	obligate	complex	yes	NA	15	3162278	1	1	b	3	adult	conocephalum_conicum	4.74341598050519e-06	14	4.42718824847151e-06	2
conocyema_polymorpha	obligate	complex	yes	NA	3	29	1	0	none	?	NA	conocyema_polymorpha	0.103448275862069	2	0.0689655172413793	NA
craspedacusta_sowerbii	obligate	complex	yes	NA	3	126	1	1	Budding	3	adult	craspedacusta_sowerbii	0.0238095238095238	2	0.0158730158730159	2
croomia_pauciflora	obligate	complex	yes	NA	42	2.5119e+10	1	1	b	3	adult	croomia_pauciflora	1.67204108443807e-09	41	1.63223058242764e-09	2
cupelopagis_vorax	obligate	complex	yes	NA	16	141254	1	0	none	1	early	cupelopagis_vorax	0.000113271128605208	15	0.000106191683067382	1
cutleria	obligate	complex	yes	NA	7	3162277660	1	0	NA	3	adult	cutleria	2.21359436223573e-09	6	1.89736659620206e-09	2
cyanea_capillata	obligate	complex	yes	NA	22	1e+13	NA	1	Budding	3	adult	cyanea_capillata	2.2e-12	21	2.1e-12	2
cyathodium_foetidissimum	obligate	complex	yes	NA	15	630957345	1	1	b	3	adult	cyathodium_foetidissimum	2.37733978673313e-08	14	2.21885046761759e-08	2
dasybranchus_caducus	obligate	complex	yes	NA	10	31623	1	0	none	1,2	early	dasybranchus_caducus	0.000316225532049458	9	0.000284602978844512	1
desmarestia_antarctica	obligate	complex	yes	NA	7	6.31e+11	1	0	NA	3	adult	desmarestia_antarctica	1.10935023771791e-11	6	9.50871632329635e-12	2
dictyosiphon_hirsutus	obligate	complex	yes	NA	6	3.9811e+10	1	0	NA	3	adult	dictyosiphon_hirsutus	1.50712114742157e-10	5	1.25593428951797e-10	2
dictyota_binghamiae	obligate	complex	yes	NA	4	2.51e+11	1	1	b	3	adult	dictyota_binghamiae	1.59362549800797e-11	3	1.19521912350598e-11	2
dicyema_typus	obligate	complex	yes	NA	3	1585	0	0	none	?	NA	dicyema_typus	0.00189274447949527	2	0.00126182965299685	NA
dicyemennea_abelis	obligate	complex	yes	NA	6	20	0	0	none	?	NA	dicyemennea_abelis	0.3	5	0.25	NA
dicyemennea_lameerei	obligate	complex	yes	NA	3	224	0	0	none	?	NA	dicyemennea_lameerei	0.0133928571428571	2	0.00892857142857143	NA
dilsea_natashae	obligate	complex	yes	NA	12	1.9953e+10	1	1	f	3	adult	dilsea_natashae	6.01413321305067e-10	11	5.51295544529645e-10	2
dinophilus_gyrociliatus	obligate	complex	yes	NA	23	10000	1	0	fission	1,2	early	dinophilus_gyrociliatus	0.0023	22	0.0022	1
diurodrilus_westheidei	obligate	complex	yes	NA	14	3549	0	0	none	1,2	early	diurodrilus_westheidei	0.00394477317554241	13	0.00366300366300366	1
ducellieria_chodatii	obligate	complex	no	0	1	40	1	0	f/b	0	no_germline	ducellieria_chodatii	0.025	0	0	0
durvillaea_antarctica	obligate	complex	yes	NA	6	1e+12	1	0	NA	3	adult	durvillaea_antarctica	6e-12	5	5e-12	2
ectocarpus_siliculosus	obligate	complex	yes	NA	4	316228	1	0	NA	3	adult	ectocarpus_siliculosus	1.2649101281354e-05	3	9.48682596101547e-06	2
elachista_fucicola	obligate	complex	yes	NA	5	15848932	1	0	b	3	adult	elachista_fucicola	3.15478670739454e-07	4	2.52382936591563e-07	2
enterostomula_graffi	obligate	complex	yes	NA	12	354814	1	0	none	3	adult	enterostomula_graffi	3.38205369573918e-05	11	3.10021588776091e-05	2
eudorina_cylindrica	obligate	simple	yes	NA	2	16	1	0	NA	0	no_germline	eudorina_cylindrica	0.125	1	0.0625	0
eudorina_elegans	obligate	simple	yes	12.5	1	32	1	0	NA	0	no_germline	eudorina_elegans	0.03125	0	0	0
eudorina_minodii	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	eudorina_minodii	0.03125	0	0	0
eudorina_unicocca	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	eudorina_unicocca	0.03125	0	0	0
farlowia_mollis	obligate	complex	yes	NA	7	3162277660	1	1	f	3	adult	farlowia_mollis	2.21359436223573e-09	6	1.89736659620206e-09	2
fucus_vesiculosus	obligate	complex	yes	NA	7	3.16e+12	1	1	NA	3	adult	fucus_vesiculosus	2.21518987341772e-12	6	1.89873417721519e-12	2
fuirena_ciliaris	obligate	complex	yes	NA	44	2.5119e+10	1	1	b	3	adult	fuirena_ciliaris	1.75166208845894e-09	43	1.71185158644851e-09	2
funaria_hygrometrica	obligate	complex	yes	NA	20	251188643	1	1	b	3	adult	funaria_hygrometrica	7.96214341585499e-08	19	7.56403624506224e-08	2
gloeophycus_koreanus	obligate	complex	yes	NA	12	6.3096e+10	1	1	f	3	adult	gloeophycus_koreanus	1.90186382655002e-10	11	1.74337517433752e-10	2
gonium_multicoccum	obligate	simple	no	0	1	32	1	0	f	0	no_germline	gonium_multicoccum	0.03125	0	0	0
gonium_pectorale	obligate	simple	no	0	1	16	1	0	f	0	no_germline	gonium_pectorale	0.0625	0	0	0
gonium_quadratum	obligate	simple	no	0	1	16	1	0	f	0	no_germline	gonium_quadratum	0.0625	0	0	0
gonium_viridistellatum	obligate	simple	no	0	1	16	1	0	f	0	no_germline	gonium_viridistellatum	0.0625	0	0	0
gymnoascus_reessii	obligate	complex	yes	NA	5	15849	1	1	f	3	adult	gymnoascus_reessii	0.000315477317180895	4	0.000252381853744716	2
haliclystus	obligate	complex	yes	NA	22	31622777	NA	NA	Budding	3	adult	haliclystus	6.95701076474087e-07	21	6.64078300270719e-07	2
halymenia_asymmetrica	obligate	complex	yes	NA	13	6.3096e+10	1	1	f	3	adult	halymenia_asymmetrica	2.06035247876252e-10	12	1.90186382655002e-10	2
haplospora_globosa	obligate	complex	yes	NA	4	2.5119e+10	0	1	b	3	adult	haplospora_globosa	1.59242008041721e-10	3	1.19431506031291e-10	2
helminthostachys_zeylanica	obligate	complex	yes	NA	5	70794579	1	1	b	3	adult	helminthostachys_zeylanica	7.06268766708818e-08	4	5.65015013367055e-08	2
heteroglossum_carnosum	obligate	complex	yes	NA	11	1e+09	1	1	f	3	adult	heteroglossum_carnosum	1.1e-08	10	1e-08	2
