species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,family,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,fragmentation_or_budding,germline_timing,refs,
Acrasis rosea,Acrasis rosea,facultative,simple,no,0,2,707.945784,non-clonal,[18-20],Protozoa,Percolozoa,Heterolobosea,Acrasida,Acrasiaceae,1,1,0,1,1,0,Life cycle in Brown & Silberman ,NA,3,-77,
Schimmelmannia dawsonii,Schimmelmannia dawsonii,obligate,complex,yes,NA,11,251000000000.00,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Acrosymphytales,Acrosymphytaceae,1,0,1,1,0,1,"Can find v. Little on schimmelmannia. Chihara 1972 describe alternating gametophyte and sporophyte, so assumed to have sex. Filamentous/crustose forms that could fragment? Good review of LHs by umezaki 1989/searles 1980/need to get west hommersand scanned. Seems that red algae don’t tend to have any asexual means, but have crustose or filamentous stages that can split?",,3,"(2, 30)",
Acytostelium,Acytostelium,facultative,simple,no,0,1,NA,non-clonal,"[20, 47]",Protozoa,Mycetozoa,Dictyosteliomycetes,Acytosteliales,Acytosteliaceae,1,1,1,1,1,1,"Brown and Silberman: similar life cycle to dicty, but have acellular stalk. Baldauf and strassman: Group splits into smaller sorogens (fructifications), which each produce a stalk and fruiting body",f,3,-77,
Heterostelium pallidum,Polysphondylium pallidum,facultative,simple,yes,45,2,NA,non-clonal,[48],Protozoa,Mycetozoa,Dictyosteliomycetes,Acytosteliales,Acytosteliaceae,1,1,1,1,1,1,Baldauf and strassman:group splits into multiple smaller orogens,f,3,-78,
Aeolosoma tenebrarum,Aeolosoma tenebrarum,obligate,complex,yes,NA,12,50118.72,clonal,"[21, 56]",Animalia,Annelida,Polychaeta,NA,Aeolosomatidae,0,0,1,1,0,1,"Multiple Aeolosoma species  use paratomy (Zattara), Elissen: ‘mostly’ reproduce asexually, Bell 1984: implies they are exclusively asexual. Marotta describe infrequent sex in genus. Arthur book (reproduction of marine inverts) sex is rare, reports contradictory, sexual specimens rarely found (pgs 217, 222)",fission,"1,2","(1-5, 8)",
Alaria marginata,Alaria marginata,obligate,complex,yes,NA,14,1000000000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,1,0,0,1,1,0,"Nakahara and nakamura 1973: 13% of unfertilised eggs develop parthenogenetically. Large sporophyte, small, filamentous gametophyte Kraan 2020 (could this be split?). Seems likely that a. Marg also has parthenogenesis",,3,"(2, 30, 39)",
Sagittaria lancifolia,Sagittaria lancifolia,obligate,complex,yes,NA,42,100000000000,clonal,"[21, 22]",Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,1,0,1,1,0,1,Van Drunen: sexual vs asexual. Spreads by rhizomes,b,3,"(2, 62)",
Amphibola crenata,amphibola crenata,obligate,complex,yes,NA,9,19952.62,clonal,[21],Animalia,Mollusca,Gastropoda,NA,Amphibolidae,1,0,0,1,0,0,"Bennington 1979— thesis ch 5. Farnie 1919, 1924: hermaphrodite. Describes structure of reproductive organs.",NA,?,"(1, 4)",
Anthoceros himalayensis,Anthoceros himalayensis Kashyap,obligate,complex,yes,NA,12,39810.7171,clonal,"[21, 37]",Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,1,0,1,1,0,1,"Mehra & Handoo 1953: forms large mats, has a ‘sterile’ form that grows gregarisouly, and resembles a species that only reproduces vegetatively. Discusses that plants are monoecious/protoandrous. Lang 1901: apospory, but not apogamy observed",b,3,-2,
Nodularia,Nodularia,obligate,simple,yes,NA,3,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,0,1,1,0,1,1,Section IV in Schirrmeister,NA,1,-18,
