species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,taxon,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,germline_timing,References
Acrasis rosea,Acrasis rosea,facultative,simple,no,0,2,707.945784,non-clonal,[18-20],Protozoa,Percolozoa,Heterolobosea,Acrasida,Acrasiaceae,1,1,0,1,1,0,Life cycle in Brown & Silberman ,3,(1)
Acytostelium,Acytostelium,facultative,simple,no,0,1,NA,non-clonal,"[20, 47]",Protozoa,Mycetozoa,Dictyosteliomycetes,Acytosteliales,Acytosteliaceae,1,1,1,1,1,1,"Brown and Silberman: similar life cycle to dicty, but have acellular stalk. Baldauf and strassman: Group splits into smaller sorogens (fructifications), which each produce a stalk and fruiting body",3,(1)
Aeolosoma tenebrarum,Aeolosoma tenebrarum,obligate,complex,yes,NA,12,50118.72,clonal,"[21, 56]",Animalia,Annelida,Polychaeta,Polychaeta,Aeolosomatidae,0,0,1,1,0,1,"Multiple Aeolosoma species  use paratomy (Zattara), Elissen: ‘mostly’ reproduce asexually, Bell 1984: implies they are exclusively asexual. Marotta describe infrequent sex in genus. Arthur book (reproduction of marine inverts) sex is rare, reports contradictory, sexual specimens rarely found (pgs 217, 222)","1,2",(2-7) (8)
Alaria marginata,Alaria marginata,obligate,complex,yes,NA,14,1000000000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,1,0,0,1,1,0,"Nakahara and nakamura 1973: 13% of unfertilised eggs develop parthenogenetically. Large sporophyte, small, filamentous gametophyte Kraan 2020 (could this be split?). Seems likely that a. Marg also has parthenogenesis. Redmond 2014 handbook discusses fragmentation using knife or blender. ",3,"(3, 9-11)"
Amphibola crenata,amphibola crenata,obligate,complex,yes,NA,9,19952.62,clonal,[21],Animalia,Mollusca,Gastropoda,Gastropoda,Amphibolidae,1,0,0,1,0,0,"Bennington 1979— thesis ch 5. Farnie 1919, 1924: hermaphrodite. Describes structure of reproductive organs.",?,"(2, 6, 12-14)"
Anabaena,Anabaena,obligate,simple,yes,10,3,600,clonal,"[6, 9]",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,3,"(15, 16)"
Anthoceros himalayensis,Anthoceros himalayensis Kashyap,obligate,complex,yes,NA,12,39810.7171,clonal,"[21, 37]",Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,1,0,1,1,0,1,"Mehra & Handoo 1953: forms large mats, has a ‘sterile’ form that grows gregarisouly, and resembles a species that only reproduces vegetatively. Discusses that plants are monoecious/protoandrous. Lang 1901: apospory, but not apogamy observed",3,"(3, 17, 18)"
Apodotrocha progenerans,apodotrocha progenerans,obligate,complex,yes,NA,16,6309.573445,clonal,[21],Animalia,annelida,Polychaeta,Eunicida,Dorvilleidae,1,0,0,1,0,0,"Westheide describe sperm and oocytes, but no spawning observed (can we assume they have sex from that?)","1,2","(2-4, 6, 7, 19, 20)"
Arthrospira,Arthrospira,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,0,1,1,0,1,1,https://core.ac.uk/download/pdf/108388.pdf and Schirrmeister 2011,0,"(15, 16, 21)"
Ascophyllum nodosum,Ascophyllum nodosum,obligate,complex,yes,NA,6,631000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,1,0,1,1,0,1,Kraberg 2007: reproduces both sexually and vegetatively from shoots. Wynne Edwards describes free-living form produced by fragmentation.,3,"(3, 22-25)"
