species	Obligate_or_facultative	Simple_or_complex	Sterile_soma	Proportion_of_sterile_cells	cell_types	cell_number	SexualReproductionObserved_Species	FissionOrBuddingObserved_Species	fragmentation_or_budding	germline_timing	germline_timing_simple	name	cell_type_over_number	somatic_cells	somatic_cells_over_number	germline_timing_numeric
Acrasis_rosea	facultative	simple	no	0	2	708	1	0	NA	3	adult	Acrasis_rosea	0.00282485875706215	1	0.00141242937853107	2
Aeolosoma_tenebrarum	obligate	complex	yes	NA	12	50119	0	1	fission	1,2	early	Aeolosoma_tenebrarum	0.000239430156228177	11	0.000219477643209162	1
Alaria_marginata	obligate	complex	yes	NA	14	1e+12	1	0		3	adult	Alaria_marginata	1.4e-11	13	1.3e-11	2
Amphibola_crenata	obligate	complex	yes	NA	9	19953	1	0	NA	?	adult	Amphibola_crenata	0.0004510599909788	8	0.000400942214203378	2
Anabaena	obligate	simple	yes	10	3	600	0	1	fission	3	adult	Anabaena	0.005	2	0.00333333333333333	2
Anthoceros_himalayensis	obligate	complex	yes	NA	12	39811	1	1	b	3	adult	Anthoceros_himalayensis	0.000301424229484313	11	0.000276305543693954	2
Apodotrocha_progenerans	obligate	complex	yes	NA	16	6310	1	0	none	1,2	early	Apodotrocha_progenerans	0.00253565768621236	15	0.00237717908082409	1
Ascophyllum_nodosum	obligate	complex	yes	NA	6	6.31e+11	1	1	f&b	3	adult	Ascophyllum_nodosum	9.50871632329635e-12	5	7.92393026941363e-12	2
Asperococcus_fistulosus	obligate	complex	yes	NA	5	1e+10	0	0		3	adult	Asperococcus_fistulosus	5e-10	4	4e-10	2
Astrephomene_gubernaculifera	obligate	simple	yes	NA	2	64	1	0	NA	3	adult	Astrephomene_gubernaculifera	0.03125	1	0.015625	2
Astrephomene_perforata	obligate	simple	yes	NA	2	64	1	0	NA	3	adult	Astrephomene_perforata	0.03125	1	0.015625	2
Basichlamys_sacculifera	obligate	simple	no	0	1	4	1	0	NA	0	no_germline	Basichlamys_sacculifera	0.25	0	0	0
Botryocladia_wynnei	obligate	complex	yes	NA	6	3981072	1	1	f	3	adult	Botryocladia_wynnei	1.50713174742883e-06	5	1.25594312285736e-06	2
Caenorhabditis_elegans	obligate	complex	yes	NA	24	892	1	0	NA	1	early	Caenorhabditis_elegans	0.0269058295964126	23	0.0257847533632287	1
Callinectes_sapidus	obligate	complex	yes	NA	69	3.16e+11	1	0	none	1,2	early	Callinectes_sapidus	2.18354430379747e-10	68	2.15189873417722e-10	1
Canis_lupus	obligate	complex	yes	NA	99	5.01e+13	1	0	none	1,2	early	Canis_lupus	1.97604790419162e-12	98	1.9560878243513e-12	1
Carpomitra_costata	obligate	complex	yes	NA	7	2511886432	0	0		3	adult	Carpomitra_costata	2.7867501933304e-09	6	2.38864302285463e-09	2
Cheiroglossa_palmata	obligate	complex	yes	NA	14	6309573445	1	0	b	3	adult	Cheiroglossa_palmata	2.21885046937591e-09	13	2.06036115013477e-09	2
Chlamydomonas_reinhardtii	facultative	simple	no	0	1	1	1	0	NA	0	no_germline	Chlamydomonas_reinhardtii	1	0	0	0
Chlorogloeopsis	obligate	simple	yes	NA	2	22	0	1	fission	3	adult	Chlorogloeopsis	0.0909090909090909	1	0.0454545454545455	2
Chordaria_flagelliformis	obligate	complex	yes	NA	6	3981071706	0	0		3	adult	Chordaria_flagelliformis	1.5071318587297e-09	5	1.25594321560808e-09	2
Chordodasiopsis_antennatus	obligate	complex	yes	NA	15	1259	1	0	none	1	early	Chordodasiopsis_antennatus	0.0119142176330421	14	0.011119936457506	1
Cladostephus_spongiosus	obligate	complex	yes	NA	8	125892541	1	0	f	3	adult	Cladostephus_spongiosus	6.3546258868506e-08	7	5.56029765099427e-08	2
Colpomenia_sinuosa	obligate	complex	yes	NA	5	1995262315	1	0		3	adult	Colpomenia_sinuosa	2.50593616809728e-09	4	2.00474893447782e-09	2
Conocephalum_conicum	obligate	complex	yes	NA	15	3162278	1	1	b	3	adult	Conocephalum_conicum	4.74341598050519e-06	14	4.42718824847151e-06	2
Conocyema_polymorpha	obligate	complex	yes	NA	3	29	1	0	none	?	adult	Conocyema_polymorpha	0.103448275862069	2	0.0689655172413793	2
Craspedacusta_sowerbii	obligate	complex	yes	NA	3	126	1	1	Budding	3	adult	Craspedacusta_sowerbii	0.0238095238095238	2	0.0158730158730159	2
Croomia_pauciflora	obligate	complex	yes	NA	42	2.5119e+10	1	1	b	3	adult	Croomia_pauciflora	1.67204108443807e-09	41	1.63223058242764e-09	2
cupelopagis_vorax	obligate	complex	yes	NA	16	141254	1	0	none	1	early	cupelopagis_vorax	0.000113271128605208	15	0.000106191683067382	1
Cutleria	obligate	complex	yes	NA	7	3162277660	1	0		3	adult	Cutleria	2.21359436223573e-09	6	1.89736659620206e-09	2
Cyanea_capillata	obligate	complex	yes	NA	22	1e+13	NA	NA	Budding	3	adult	Cyanea_capillata	2.2e-12	21	2.1e-12	2
Cyathodium	obligate	complex	yes	NA	13	50118724	1	1	b	3	adult	Cyathodium	2.59384097647817e-07	12	2.39431474751831e-07	2
Cyathodium_foetidissimum	obligate	complex	yes	NA	15	630957345	1	1	b	3	adult	Cyathodium_foetidissimum	2.37733978673313e-08	14	2.21885046761759e-08	2
