"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","IsInTree"
"1","acrasis rosea","Acrasis rosea",FALSE,765113,FALSE,"",1,TRUE
"2","schimmelmannia dawsonii","Schimmelmannia dawsonii",FALSE,4013674,FALSE,"",1,TRUE
"3","acytostelium","Acytostelium",FALSE,811854,FALSE,"",1,TRUE
"4","heterostelium pallidum","Heterostelium pallidum",FALSE,7041871,FALSE,"sibling_higher",1,TRUE
"5","aeolosoma tenebrarum","Aeolosoma tenebrarum",FALSE,4974308,FALSE,"",1,TRUE
"6","alaria marginata","Alaria marginata",FALSE,72522,FALSE,"sibling_higher",1,TRUE
"7","sagittaria lancifolia","Sagittaria lancifolia",FALSE,481952,FALSE,"",2,TRUE
"9","anthoceros himalayensis","Anthoceros himalayensis",FALSE,7567530,FALSE,"",2,TRUE
"11","lemna minor","Lemna minor",FALSE,431388,FALSE,"",1,TRUE
"12","wolffia arrhiza","Wolffia arrhiza",FALSE,1059898,FALSE,"",1,TRUE
"13","wolffia microscopica","Wolffia microscopica",FALSE,1059900,FALSE,"",1,TRUE
"14","lomandra hermaphrodita","Lomandra hermaphrodita",FALSE,3995126,FALSE,"",1,TRUE
"15","cupelopagis vorax","Cupelopagis vorax",FALSE,2942244,FALSE,"",1,TRUE
"16","bacillus subtilis","Bacillus subtilis",FALSE,1084928,FALSE,"sibling_higher",1,TRUE
"17","periplaneta americana","Periplaneta americana",FALSE,48288,FALSE,"",1,TRUE
"18","notholca acuminata","Notholca acuminata",FALSE,492241,FALSE,"",1,TRUE
"19","mammillaria elongata","Mammillaria elongata",FALSE,346740,FALSE,"",1,TRUE
"20","schmitzia hiscockiana","Schmitzia hiscockiana",FALSE,4742064,FALSE,"",1,TRUE
"21","canis lupus","Canis lupus",FALSE,247341,FALSE,"",1,TRUE
"22","dasybranchus caducus","Dasybranchus caducus",FALSE,365439,FALSE,"",1,TRUE
"23","cavenderia fasciculata","Cavenderia fasciculata",FALSE,543977,FALSE,"",1,TRUE
