"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"1","acrasis rosea","Acrasis rosea",FALSE,765113,FALSE,"",1
"2","acytostelium","Acytostelium",FALSE,811854,FALSE,"",1
"3","aeolosoma tenebrarum","Aeolosoma tenebrarum",FALSE,4974308,FALSE,"",1
"4","alaria marginata","Alaria marginata",FALSE,72522,FALSE,"sibling_higher",1
"5","amphibola crenata","Amphibola crenata",FALSE,298764,FALSE,"incertae_sedis_inherited",1
"6","anabaena","Anabaena",FALSE,368779,FALSE,"sibling_higher",2
"7","thalassoanaperus sulcatus","Anaperus sulcatus",FALSE,3663378,TRUE,"",1
"8","anthoceros himalayensis","Anthoceros himalayensis",FALSE,7567530,FALSE,"",2
"9","apodotrocha progenerans","Apodotrocha progenerans",FALSE,4979583,FALSE,"",1
"10","cupelopagis vorax","Cupelopagis vorax",FALSE,2942244,FALSE,"",1
"11","arthrospira","Arthrospira",FALSE,231664,FALSE,"sibling_higher",1
"12","ascophyllum nodosum","Ascophyllum nodosum",FALSE,727979,FALSE,"",1
"13","asperococcus fistulosus","Asperococcus fistulosus",FALSE,790395,FALSE,"",1
"14","astrephomene gubernaculifera","Astrephomene gubernaculifera",FALSE,1052546,FALSE,"",1
"15","astrephomene perforata","Astrephomene perforata",FALSE,1017821,FALSE,"",1
"16","bacillus subtilis","Bacillus subtilis",FALSE,1084928,FALSE,"sibling_higher",1
"17","basichlamys sacculifera","Basichlamys sacculifera",FALSE,60471,FALSE,"",1
"18","botryocladia wynnei","Botryocladia wynnei",FALSE,724784,FALSE,"",1
"19","caenorhabditis elegans","Caenorhabditis elegans",FALSE,395048,FALSE,"",1
"20","callinectes sapidus","Callinectes sapidus",FALSE,182906,FALSE,"",1
"21","calothrix","Calothrix",FALSE,12832,FALSE,"sibling_higher",1
"22","candida albicans","Candida albicans",FALSE,154960,FALSE,"",1
"23","canis lupus","Canis lupus",FALSE,247341,FALSE,"",1
"24","carpomitra costata","Carpomitra costata",FALSE,817791,FALSE,"",1
"25","chlamydomonas reinhardtii","Chlamydomonas reinhardtii",FALSE,33153,FALSE,"",1
"26","chlorogloeopsis","Chlorogloeopsis",FALSE,269063,FALSE,"sibling_higher",1
"27","chondromyces crocatus","Chondromyces crocatus",FALSE,424530,FALSE,"sibling_higher",1
"28","chordaria flagelliformis","Chordaria flagelliformis",FALSE,497063,FALSE,"",1
"29","mesogloia linearis","Chordaria linearis",FALSE,34559,TRUE,"",1
"30","chordodasiopsis antennatus","Chordodasiopsis antennatus",FALSE,2844962,FALSE,"",1
"31","cladostephus spongiosus","Cladostephus spongiosus (species in subkingdom SAR)",FALSE,92556,FALSE,"",2
"32","clostridium","Clostridium",FALSE,933512,FALSE,"",1
"33","colpomenia sinuosa","Colpomenia sinuosa",FALSE,849781,FALSE,"",1
"34","conocephalum conicum","Conocephalum conicum",FALSE,199292,FALSE,"",1
"35","conocyema polymorpha","Conocyema polymorpha",FALSE,3684437,FALSE,"",1
"36","crinalium magnum","Crinalium magnum",FALSE,528228,FALSE,"sibling_higher",1
"37","croomia pauciflora","Croomia pauciflora",FALSE,840001,FALSE,"",1
"38","cutleria","Cutleria (genus in subkingdom SAR)",FALSE,92561,FALSE,"",2
"39","cyanea capillata","Cyanea capillata",FALSE,178412,FALSE,"",1
"40","cyathodium","Cyathodium",FALSE,230418,FALSE,"",1
"41","cyathodium foetidissimum","Cyathodium foetidissimum",FALSE,1069171,FALSE,"",1
"42","dasybranchus caducus","Dasybranchus caducus",FALSE,365439,FALSE,"",1
"43","desmarestia antarctica","Desmarestia antarctica",FALSE,336388,FALSE,"",1
"44","dictyosiphon hirsutus","Dictyosiphon hirsutus",FALSE,2819986,FALSE,"",1
"45","dictyostelium discoideum","Dictyostelium discoideum",FALSE,160850,FALSE,"",1
"46","cavenderia fasciculata","Cavenderia fasciculata",FALSE,543977,FALSE,"",1
